,0
180,(4.108019465937621e-07+0j)
181,(4.071352554816797e-07+0j)
182,(3.725709565688219e-07+0j)
183,(3.658289695709095e-07+0j)
184,(3.265242619706515e-07+0j)
185,(3.152153074301729e-07+0j)
186,(3.025134960011677e-07+0j)
187,(2.9204381763162695e-07+0j)
188,(2.720338409147683e-07+0j)
189,(2.5048808422767504e-07+0j)
190,(2.466352078069937e-07+0j)
191,(2.3685414099435333e-07+0j)
192,(2.1516407685859772e-07+0j)
193,(2.1259639328354531e-07+0j)
194,(2.0374544827351272e-07+0j)
195,(2.0246921517952035e-07+0j)
196,(1.8338119719283866e-07+0j)
197,(1.7465867227149212e-07+0j)
198,(1.6779876637877202e-07+0j)
199,(1.5466821242112956e-07+0j)
200,(1.4713774912904994e-07+0j)
201,(1.4199181687859425e-07+0j)
202,(1.259732859152769e-07+0j)
203,(1.2488204051845013e-07+0j)
204,(1.2070385892561368e-07+0j)
205,(1.1884752025607002e-07+0j)
206,(9.549387608405506e-08+0j)
207,(9.43433140660035e-08+0j)
208,(9.19900845196458e-08+0j)
209,(7.806238788920382e-08+0j)
210,(7.149237897905735e-08+0j)
211,(6.765313270755369e-08+0j)
212,(6.719200893789669e-08+0j)
213,(6.588906571053897e-08+0j)
214,(5.7924168446642376e-08+0j)
215,(5.465904009888272e-08+0j)
216,(5.324946984728117e-08+0j)
217,(5.008399101761161e-08+0j)
218,(4.772038956872542e-08+0j)
219,(4.5855396269202545e-08+0j)
220,(4.473646549667659e-08+0j)
221,(4.3438015240106884e-08+0j)
222,(3.929166488104476e-08+0j)
223,(3.674032068135602e-08+0j)
224,(3.4782134549490155e-08+0j)
225,(3.4080969693934435e-08+0j)
226,(3.309675438887254e-08+0j)
227,(3.1276918335085866e-08+0j)
228,(2.7639372674071387e-08+0j)
229,(2.622131071999655e-08+0j)
230,(2.5332245639951457e-08+0j)
231,(2.4360693118603913e-08+0j)
232,(2.220473753441574e-08+0j)
233,(2.0699466799605374e-08+0j)
234,(2.001373336685132e-08+0j)
235,(1.9109100805692374e-08+0j)
236,(1.7827053411851164e-08+0j)
237,(1.659159999687171e-08+0j)
238,(1.554870464250269e-08+0j)
239,(1.456490250627114e-08+0j)
240,(1.3462375021497887e-08+0j)
241,(1.1888096353520072e-08+0j)
242,(1.1209108422635307e-08+0j)
243,(1.0827487687619419e-08+0j)
244,(1.016950646497258e-08+0j)
245,(9.74095673147095e-09+0j)
246,(9.622886363676401e-09+0j)
247,(9.2174691388707e-09+0j)
248,(8.93111135933198e-09+0j)
249,(8.388077501847455e-09+0j)
250,(8.05744641782049e-09+0j)
251,(8.11470698857824e-09+0j)
252,(7.384996788339419e-09+0j)
253,(7.219057899476581e-09+0j)
254,(6.966581661103389e-09+0j)
255,(6.868417090971362e-09+0j)
256,(6.257958253018224e-09+0j)
257,(5.881514742361541e-09+0j)
258,(5.629238920539274e-09+0j)
259,(4.962749257752733e-09+0j)
260,(4.798256309563865e-09+0j)
261,(4.681364761964122e-09+0j)
262,(4.404693175706597e-09+0j)
263,(4.163163050190075e-09+0j)
264,(4.047445842458525e-09+0j)
265,(3.759629820775031e-09+0j)
266,(3.6381619636580977e-09+0j)
267,(3.40152225966419e-09+0j)
268,(3.3191333121952575e-09+0j)
269,(3.1458589326000075e-09+0j)
270,(3.05046329940512e-09+0j)
271,(2.5632436568131697e-09+0j)
272,(2.51572115157801e-09+0j)
273,(2.0212382494925352e-09+0j)
274,(1.940801697196239e-09+0j)
275,(1.8781204981197972e-09+0j)
276,(1.848384721202739e-09+0j)
277,(1.7232783260967693e-09+0j)
278,(1.6781477336052936e-09+0j)
279,(1.6339793737228577e-09+0j)
280,(1.482232941482007e-09+0j)
281,(1.4478457954980456e-09+0j)
282,(1.3761705754203781e-09+0j)
283,(1.3292201859963814e-09+0j)
284,(1.2688414912243362e-09+0j)
285,(1.2538258431603762e-09+0j)
286,(1.232242484669913e-09+0j)
287,(1.2020398220296396e-09+0j)
288,(1.1483308029099312e-09+0j)
289,(1.1111366903758782e-09+0j)
290,(1.053872591634478e-09+0j)
291,(9.928123259945225e-10+0j)
292,(9.699412884973402e-10+0j)
293,(8.857819815458682e-10+0j)
294,(8.337715829282565e-10+0j)
295,(7.365427971520576e-10+0j)
296,(6.889903520891625e-10+0j)
297,(6.856634821340789e-10+0j)
298,(6.352040374447101e-10+0j)
299,(6.184510333591971e-10+0j)
300,(6.067956710187144e-10+0j)
301,(5.848232134822825e-10+0j)
302,(5.673991794915901e-10+0j)
303,(5.411083736955427e-10+0j)
304,(5.260896349856479e-10+0j)
305,(5.018163802932643e-10+0j)
306,(4.649332771279323e-10+0j)
307,(4.708260209269854e-10+0j)
308,(4.1320709006457797e-10+0j)
309,(3.705121986535609e-10+0j)
310,(3.750862323028741e-10+0j)
311,(3.305206854727336e-10+0j)
312,(3.159826453071985e-10+0j)
313,(3.0954019718278363e-10+0j)
314,(3.0733953372205e-10+0j)
315,(2.9725403478652186e-10+0j)
316,(2.8266918056481147e-10+0j)
317,(2.5428798404040186e-10+0j)
318,(2.2102512240711614e-10+0j)
319,(2.1119213817571077e-10+0j)
320,(2.046655352779458e-10+0j)
321,(1.9680913976407375e-10+0j)
322,(1.8654239061071642e-10+0j)
323,(1.8191813710698514e-10+0j)
324,(1.7529945844865138e-10+0j)
325,(1.7108457733186553e-10+0j)
326,(1.6294737954540956e-10+0j)
327,(1.6206746685689246e-10+0j)
328,(1.553921422116916e-10+0j)
329,(1.5057421919423177e-10+0j)
330,(1.361169156630867e-10+0j)
331,(1.2951483026743562e-10+0j)
332,(1.265511204676136e-10+0j)
333,(6.816719902962507e-11+0j)
334,(7.41776970359187e-11+0j)
335,(7.545642258212778e-11+0j)
336,(8.54752928022276e-11+0j)
337,(8.042484803808495e-11+0j)
338,(8.169741773522407e-11+0j)
339,(1.1564883841191366e-10+0j)
340,(9.542431992287977e-11+0j)
341,(1.0061487902371301e-10+0j)
342,(1.016313261963533e-10+0j)
343,(1.098511810902556e-10+0j)
344,(1.0716376038698786e-10+0j)
345,(1.065788770775318e-10+0j)
346,(9.236721356044097e-11+0j)
347,(6.654125417742498e-11+0j)
348,(6.1003000110479e-11+0j)
349,(5.819965516221703e-11+0j)
350,(5.695244507756585e-11+0j)
351,(5.572470551699242e-11+0j)
352,(5.4277304344611366e-11+0j)
353,(5.004150831146923e-11+0j)
354,(4.768081599756429e-11+0j)
355,(4.646567135803246e-11+0j)
356,(4.596335901923721e-11+0j)
357,(4.3798126350011276e-11+0j)
358,(4.218790029229774e-11+0j)
359,(3.968853905439923e-11+0j)
360,(3.8149376320710364e-11+0j)
361,(3.306735837258855e-11+0j)
362,(3.021633581108744e-11+0j)
363,(2.691286661823793e-11+0j)
364,(2.5620895992427457e-11+0j)
365,(2.5270939414516347e-11+0j)
366,(2.378815192760768e-11+0j)
367,(2.1765585416400763e-11+0j)
368,(2.1211949309091275e-11+0j)
369,(2.0885681419489787e-11+0j)
370,(1.847546672514575e-11+0j)
371,(1.5505934919688584e-11+0j)
372,(1.6289836829215437e-11+0j)
373,(1.594671449500532e-11+0j)
374,(1.3507026372844116e-11+0j)
375,(1.3344547311194426e-11+0j)
376,(1.2582552356679068e-11+0j)
377,(1.2120208747650326e-11+0j)
378,(1.1401828278735637e-11+0j)
379,(1.1206458298749132e-11+0j)
380,(1.0790031252201988e-11+0j)
381,(1.0699727788168227e-11+0j)
382,(1.0245929923565495e-11+0j)
383,(9.917148564583168e-12+0j)
384,(9.254402756961705e-12+0j)
385,(8.166619760163699e-12+0j)
386,(7.99097417968472e-12+0j)
387,(7.424426795167376e-12+0j)
388,(7.204727787419773e-12+0j)
389,(4.94178159220601e-12+0j)
390,(5.1629771978640834e-12+0j)
391,(5.650191377270329e-12+0j)
392,(5.894791490781983e-12+0j)
393,(6.290179521236822e-12+0j)
394,(6.556521318174447e-12+0j)
395,(6.658581623985155e-12+0j)
396,(4.562213617155743e-12+0j)
397,(3.8611333109444356e-12+0j)
398,(4.051234655278458e-12+0j)
399,(4.1883027496390364e-12+0j)
400,(3.093287738859789e-12+0j)
401,(2.9540906205634923e-12+0j)
402,(2.8563922448107384e-12+0j)
403,(2.653585038057539e-12+0j)
404,(2.2884951790386312e-12+0j)
405,(2.2277681749472463e-12+0j)
406,(1.956531481993646e-12+0j)
407,(1.7557425287537414e-12+0j)
408,(1.4666353331580054e-12+0j)
409,(1.6618995767725792e-12+0j)
410,(1.5974467034422416e-12+0j)
411,(1.5806506781647364e-12+0j)
412,(1.2202720499127264e-12+0j)
413,(9.994988988803833e-13+0j)
414,(9.427823231908864e-13+0j)
415,(8.458737751962698e-13+0j)
416,(7.295284039033767e-13+0j)
417,(6.496530739588277e-13+0j)
418,(5.923025018630025e-13+0j)
419,(4.615589645891065e-13+0j)
420,(3.702500843765716e-13+0j)
421,(3.2788484466785946e-13+0j)
422,(2.8259098188771543e-13+0j)
423,(2.442087618750463e-13+0j)
424,(2.066807166559865e-13+0j)
425,(1.9675953489182831e-13+0j)
426,(1.7171504326716615e-13+0j)
427,(1.634366363600956e-13+0j)
428,(1.5501349085614771e-13+0j)
429,(1.1549142598406082e-13+0j)
430,(1.1180357838252495e-13+0j)
431,(1.0412380860648866e-13+0j)
432,(1.0104194550325201e-13+0j)
433,(9.668157963473992e-14+0j)
434,(8.301404416748197e-14+0j)
435,(6.731491563494543e-14+0j)
436,(6.284015175906329e-14+0j)
437,(5.819188535650464e-14+0j)
438,(5.069779404075312e-14+0j)
439,(2.8891937107107074e-14+0j)
440,(3.2163649584974066e-14+0j)
441,(2.4140682814420184e-14+0j)
442,(2.3405126370258e-14+0j)
443,(1.947309687280385e-14+0j)
444,(1.4935431520691e-14+0j)
445,(1.4106821251596533e-14+0j)
446,(1.3673165562578455e-14+0j)
447,(1.1646378752745809e-14+0j)
448,(1.0941886319841931e-14+0j)
449,(9.422718721360756e-15+0j)
450,(1.0354619528449544e-14+0j)
451,(8.233178125472485e-15+0j)
452,(7.175805327708627e-15+0j)
453,(7.594716259389968e-15+0j)
454,(6.394685148542467e-15+0j)
455,(5.5591771059700554e-15+0j)
456,(3.868015761520569e-15+0j)
457,(3.2310579175908335e-15+0j)
458,(3.0825599302189e-15+0j)
459,(1.9201442771565084e-15+0j)
460,(1.579560965651344e-15+0j)
461,(1.0260864417921016e-15+0j)
462,(1.291846925772304e-15+0j)
463,(7.710527115588606e-16+0j)
464,(6.803061406342187e-16+0j)
465,(1.2403839183876692e-15+0j)
466,(5.851890613233017e-16+0j)
467,(2.9053777139100552e-16+0j)
468,(1.996798346144343e-16+0j)
469,(2.1860346034582416e-16+0j)
470,(-6.021625052924025e-22+0j)
471,(2.8888037924415364e-22+1.352190732103163e-22j)
472,(2.8888037924415364e-22-1.352190732103163e-22j)
473,(-1.8473272058180239e-23+0j)
474,(-6.441863744548823e-25+0j)
475,0j
476,0j
477,0j
478,0j
479,0j
480,0j
481,0j
482,0j
483,0j
484,0j
485,0j
486,0j
487,0j
488,0j
489,0j
490,0j
491,0j
492,0j
493,0j
494,0j
495,0j
496,0j
497,0j
498,0j
499,0j
500,0j
501,0j
502,0j
503,0j
504,0j
505,0j
506,0j
507,0j
508,0j
509,0j
510,0j
511,0j
512,0j
513,0j
514,0j
515,0j
516,0j
517,0j
518,0j
519,0j
520,0j
521,0j
522,0j
523,0j
524,0j
525,0j
526,0j
527,0j
528,0j
529,0j
530,0j
531,0j
532,0j
533,0j
534,0j
535,0j
536,0j
537,0j
538,0j
539,0j
540,0j
541,0j
542,0j
543,0j
544,0j
545,0j
546,0j
547,0j
548,0j
549,0j
550,0j
551,0j
552,0j
553,0j
554,0j
555,0j
556,0j
557,0j
558,0j
559,0j
560,0j
561,0j
562,0j
563,0j
564,0j
565,0j
566,0j
567,0j
568,0j
569,0j
570,0j
571,0j
572,0j
573,0j
574,0j
575,0j
576,0j
577,0j
578,0j
579,0j
580,0j
581,0j
582,0j
583,0j
584,0j
585,0j
586,0j
587,0j
588,0j
589,0j
590,0j
